FIPS,2000_tract,2000_total,2000_white,2000_black,2000_native,2000_asian,2000_other,2000_mixed,2000_latino,2000_pct_white,2000_pct_black,2000_pct_native,2000_pct_asian,PCT_SE_T015_007,2000_pct_other,2000_pct_mixed,2000_pct_latino,2000_over_25,2000_educ_less_hs,2000_educ_hs,2000_educ_some_college,2000_educ_bach,2000_educ_masters,2000_educ_professional,2000_educ_doct,2000_pct_educ_less_hs,2000_pct_educ_educ_hs,2000_pct_educ_some_college,2000_pct_educ_bach,2000_pct_educ_masters,2000_pct_educ_professional,2000_pct_educ_doct,2000_over_16,2000_employed,2000_unemployed,2000_pct_employed,2000_pct_unemployed,2000_med_income_1999,2000_occupied_units,2000_owner,2000_renter,2000_pct_owner,2000_pct_renter,2000_med_value_owner,2000_med_gross_rent
6037603200,603200,2310,521,125,4,1024,1,78,542,22.55,5.41,0.17,44.33,0.65,0.04,3.38,23.46,1664,359,1305,791,335,38,7,0,21.57,78.43,47.54,20.13,2.28,0.42,0,1070,998,72,93.27,6.73,34946,949,638,311,67.23,32.77,165600,719
6037603301,603301,4004,558,271,3,2047,5,124,951,13.94,6.77,0.07,51.12,1.12,0.12,3.1,23.75,2969,567,2402,1598,737,189,84,18,19.1,80.9,53.82,24.82,6.37,2.83,0.61,1978,1891,87,95.6,4.4,40649,1634,441,1193,26.99,73.01,204400,743
6037603302,603302,3678,550,147,4,1759,3,133,1029,14.95,4,0.11,47.82,1.44,0.08,3.62,27.98,2649,507,2142,1325,515,106,20,0,19.14,80.86,50.02,19.44,4,0.76,0,1590,1492,98,93.84,6.16,39519,1457,707,750,48.52,51.48,181100,789
6037603400,603400,4382,734,665,3,1273,9,156,1507,16.75,15.18,0.07,29.05,0.8,0.21,3.56,34.39,2925,774,2151,1242,411,98,45,5,26.46,73.54,42.46,14.05,3.35,1.54,0.17,1939,1768,171,91.18,8.82,46098,1491,824,667,55.26,44.74,167700,732
6037603500,603500,2955,756,306,11,794,13,111,953,25.58,10.36,0.37,26.87,0.37,0.44,3.76,32.25,1876,450,1426,1052,324,40,19,6,23.99,76.01,56.08,17.27,2.13,1.01,0.32,1403,1300,103,92.66,7.34,61705,919,757,162,82.37,17.63,173400,595
6037603600,603600,3649,1226,268,5,1045,9,137,926,33.6,7.34,0.14,28.64,0.9,0.25,3.75,25.38,2581,353,2228,1689,793,231,25,17,13.68,86.32,65.44,30.72,8.95,0.97,0.66,1991,1895,96,95.18,4.82,54079,1301,1007,294,77.4,22.6,183900,915
6037603702,603702,4887,2079,266,20,1104,14,228,1163,42.54,5.44,0.41,22.59,0.27,0.29,4.67,23.8,3380,677,2703,1888,671,193,53,30,20.03,79.97,55.86,19.85,5.71,1.57,0.89,2215,2112,103,95.35,4.65,54375,1649,1317,332,79.87,20.13,199900,916
6037603703,603703,2627,914,265,11,427,3,99,866,34.79,10.09,0.42,16.25,1.6,0.11,3.77,32.97,1846,432,1414,899,295,124,48,26,23.4,76.6,48.7,15.98,6.72,2.6,1.41,1400,1345,55,96.07,3.93,60625,831,696,135,83.75,16.25,186600,820
6037603704,603704,6275,382,2288,16,426,9,116,3010,6.09,36.46,0.25,6.79,0.45,0.14,1.85,47.97,3268,1152,2116,1343,383,179,61,7,35.25,64.75,41.1,11.72,5.48,1.87,0.21,2819,2436,383,86.41,13.59,29816,2042,292,1750,14.3,85.7,154900,615
6037603800,603800,8356,1335,1591,35,1075,21,239,3992,15.98,19.04,0.42,12.87,0.81,0.25,2.86,47.77,4745,1726,3019,1812,639,178,77,20,36.38,63.62,38.19,13.47,3.75,1.62,0.42,3558,3259,299,91.6,8.4,35625,2457,680,1777,27.68,72.32,174300,764
6037603900,603900,7148,1735,769,17,684,21,199,3688,24.27,10.76,0.24,9.57,0.49,0.29,2.78,51.59,4304,1621,2683,1717,572,163,81,17,37.66,62.34,39.89,13.29,3.79,1.88,0.39,3163,2985,178,94.37,5.63,36422,2340,956,1384,40.85,59.15,169500,767
6037604000,604000,9490,2292,914,43,666,33,343,5109,24.15,9.63,0.45,7.02,0.95,0.35,3.61,53.84,5361,1877,3484,2067,749,287,164,33,35.01,64.99,38.56,13.97,5.35,3.06,0.62,4498,4137,361,91.97,8.03,40333,2802,835,1967,29.8,70.2,182500,797
6037604100,604100,6717,1584,578,16,566,9,175,3726,23.58,8.61,0.24,8.43,0.94,0.13,2.61,55.47,3943,1496,2447,1252,338,109,39,14,37.94,62.06,31.75,8.57,2.76,0.99,0.36,3087,2817,270,91.25,8.75,45333,1956,706,1250,36.09,63.91,175600,804
6037609900,609900,1678,573,82,7,66,0,62,884,34.15,4.89,0.42,3.93,0.24,0,3.69,52.68,1068,309,759,552,210,114,38,38,28.93,71.07,51.69,19.66,10.67,3.56,3.56,881,830,51,94.21,5.79,50833,600,270,330,45,55,220900,744
6037620001,620001,3834,3028,32,15,219,17,123,383,78.98,0.83,0.39,5.71,0.44,0.44,3.21,9.99,2677,196,2481,2038,1068,308,86,7,7.32,92.68,76.13,39.9,11.51,3.21,0.26,2140,2086,54,97.48,2.52,61589,1599,818,781,51.16,48.84,377000,764
6037620002,620002,3341,2476,33,12,271,24,127,391,74.11,0.99,0.36,8.11,0.21,0.72,3.8,11.7,2521,231,2290,1912,979,275,62,19,9.16,90.84,75.84,38.83,10.91,2.46,0.75,2118,2013,105,95.04,4.96,62130,1513,436,1077,28.82,71.18,354200,902
6037620003,620003,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,0,1,0,1,0,100,0,0
6037620101,620101,5347,4105,79,17,332,28,190,580,76.77,1.48,0.32,6.21,0.3,0.52,3.55,10.85,3645,214,3431,2833,1394,430,137,50,5.87,94.13,77.72,38.24,11.8,3.76,1.37,3079,2970,109,96.46,3.54,65250,2254,1184,1070,52.53,47.47,327700,905
6037620102,620102,3510,2746,37,8,183,18,100,411,78.23,1.05,0.23,5.21,0.2,0.51,2.85,11.71,2577,178,2399,2047,1222,474,103,39,6.91,93.09,79.43,47.42,18.39,4,1.51,2261,2145,116,94.87,5.13,55443,1693,499,1194,29.47,70.53,392000,931
