Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_INTPTLAT,Geo_INTPTLON,10P,10WNH,10BNH,10ANH,10L,10WNH_P,10BNH_P,10ANH_P,10L_P,10OHU,10OO,10RO,10OO_P,10RO_P
6037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",6,37,104701,34.2684745,-118.415214,4208,36,120,11,4018,0.86,2.85,0.26,95.48,900,222,678,24.67,75.33
6037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",6,37,104703,34.2552325,-118.4005905,2397,69,43,6,2264,2.88,1.79,0.25,94.45,557,191,366,34.29,65.71
6037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",6,37,104704,34.2625316,-118.4088637,4219,233,554,142,3238,5.52,13.13,3.37,76.75,1117,673,444,60.25,39.75
6037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",6,37,104810,34.2502996,-118.4111792,5328,158,28,105,4996,2.97,0.53,1.97,93.77,1028,707,321,68.77,31.23
6037104821,Census Tract 1048.21,"Census Tract 1048.21, Los Angeles County, California",6,37,104821,34.2465705,-118.4162955,3514,118,40,62,3269,3.36,1.14,1.76,93.03,760,302,458,39.74,60.26
6037104822,Census Tract 1048.22,"Census Tract 1048.22, Los Angeles County, California",6,37,104822,34.2458338,-118.4209236,2277,75,24,162,1998,3.29,1.05,7.11,87.75,562,188,374,33.45,66.55
6037106010,Census Tract 1060.10,"Census Tract 1060.10, Los Angeles County, California",6,37,106010,34.3253362,-118.4434108,3152,621,165,180,2115,19.7,5.23,5.71,67.1,930,717,213,77.1,22.9
6037106020,Census Tract 1060.20,"Census Tract 1060.20, Los Angeles County, California",6,37,106020,34.3230145,-118.429739,5557,903,127,187,4241,16.25,2.29,3.37,76.32,1385,1156,229,83.47,16.53
6037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",6,37,106111,34.3213672,-118.407505,4334,1194,198,309,2552,27.55,4.57,7.13,58.88,1313,1186,127,90.33,9.67
6037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",6,37,106112,34.3054778,-118.4124465,5969,1007,215,540,4092,16.87,3.6,9.05,68.55,1462,1216,246,83.17,16.83
6037106113,Census Tract 1061.13,"Census Tract 1061.13, Los Angeles County, California",6,37,106113,34.3061792,-118.4222365,3493,550,75,155,2670,15.75,2.15,4.44,76.44,850,700,150,82.35,17.65
6037106114,Census Tract 1061.14,"Census Tract 1061.14, Los Angeles County, California",6,37,106114,34.3023558,-118.4268073,5880,439,213,133,4995,7.47,3.62,2.26,84.95,1500,680,820,45.33,54.67
6037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",6,37,106403,34.3060186,-118.4412741,3825,296,44,51,3401,7.74,1.15,1.33,88.92,817,635,182,77.72,22.28
6037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",6,37,106405,34.3146809,-118.4482929,3966,400,234,128,3165,10.09,5.9,3.23,79.8,1118,677,441,60.55,39.45
6037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",6,37,106406,34.3228508,-118.4590006,4962,934,130,301,3514,18.82,2.62,6.07,70.82,1359,1107,252,81.46,18.54
6037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",6,37,106407,34.3105742,-118.4365572,2933,410,189,67,2235,13.98,6.44,2.28,76.2,822,222,600,27.01,72.99
6037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",6,37,106408,34.3132613,-118.4400777,3463,156,113,149,3005,4.5,3.26,4.3,86.77,915,157,758,17.16,82.84
6037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",6,37,106510,34.326405,-118.4795847,5108,1027,345,375,3261,20.11,6.75,7.34,63.84,1446,974,472,67.36,32.64
6037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",6,37,106520,34.3088574,-118.4613524,5837,662,66,70,4983,11.34,1.13,1.2,85.37,1395,1078,317,77.28,22.72
6037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",6,37,106603,34.3123662,-118.5244831,2979,1662,96,596,475,55.79,3.22,20.01,15.94,965,898,67,93.06,6.94
6037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",6,37,106604,34.3033292,-118.4745764,5020,401,105,175,4288,7.99,2.09,3.49,85.42,1205,608,597,50.46,49.54
6037106641,Census Tract 1066.41,"Census Tract 1066.41, Los Angeles County, California",6,37,106641,34.2984691,-118.5084331,2317,1518,55,360,301,65.52,2.37,15.54,12.99,774,721,53,93.15,6.85
6037106642,Census Tract 1066.42,"Census Tract 1066.42, Los Angeles County, California",6,37,106642,34.2863224,-118.5070136,3236,1897,113,408,722,58.62,3.49,12.61,22.31,1069,938,131,87.75,12.25
6037106643,Census Tract 1066.43,"Census Tract 1066.43, Los Angeles County, California",6,37,106643,34.2894537,-118.5220166,4320,2706,127,782,582,62.64,2.94,18.1,13.47,1312,1243,69,94.74,5.26
6037106645,Census Tract 1066.45,"Census Tract 1066.45, Los Angeles County, California",6,37,106645,34.2905628,-118.4941725,3389,2151,114,473,546,63.47,3.36,13.96,16.11,1172,1082,90,92.32,7.68
6037106646,Census Tract 1066.46,"Census Tract 1066.46, Los Angeles County, California",6,37,106646,34.2797379,-118.4939447,3237,1371,114,548,1107,42.35,3.52,16.93,34.2,933,796,137,85.32,14.68
6037106648,Census Tract 1066.48,"Census Tract 1066.48, Los Angeles County, California",6,37,106648,34.2930983,-118.4558345,3890,215,86,55,3478,5.53,2.21,1.41,89.41,938,465,473,49.57,50.43
6037106649,Census Tract 1066.49,"Census Tract 1066.49, Los Angeles County, California",6,37,106649,34.2892618,-118.4606541,2853,274,105,598,1824,9.6,3.68,20.96,63.93,709,600,109,84.63,15.37
6037107010,Census Tract 1070.10,"Census Tract 1070.10, Los Angeles County, California",6,37,107010,34.3020803,-118.4467204,3247,199,14,52,2970,6.13,0.43,1.6,91.47,712,497,215,69.8,30.2
6037107020,Census Tract 1070.20,"Census Tract 1070.20, Los Angeles County, California",6,37,107020,34.2975505,-118.4504793,5404,303,56,343,4612,5.61,1.04,6.35,85.34,1225,855,370,69.8,30.2
6037108101,Census Tract 1081.01,"Census Tract 1081.01, Los Angeles County, California",6,37,108101,34.2793058,-118.5416524,2230,1351,71,507,209,60.58,3.18,22.74,9.37,789,703,86,89.1,10.9
6037108102,Census Tract 1081.02,"Census Tract 1081.02, Los Angeles County, California",6,37,108102,34.2804584,-118.5550665,3430,1880,63,1064,334,54.81,1.84,31.02,9.74,1223,1064,159,87,13
6037108103,Census Tract 1081.03,"Census Tract 1081.03, Los Angeles County, California",6,37,108103,34.2864236,-118.5400017,3256,1848,49,970,291,56.76,1.5,29.79,8.94,1051,986,65,93.82,6.18
6037108104,Census Tract 1081.04,"Census Tract 1081.04, Los Angeles County, California",6,37,108104,34.2943135,-118.5460083,1698,1066,47,365,172,62.78,2.77,21.5,10.13,580,541,39,93.28,6.72
6037108201,Census Tract 1082.01,"Census Tract 1082.01, Los Angeles County, California",6,37,108201,34.2868634,-118.564234,5551,2310,115,2499,406,41.61,2.07,45.02,7.31,1848,1555,293,84.15,15.85
6037108202,Census Tract 1082.02,"Census Tract 1082.02, Los Angeles County, California",6,37,108202,34.286095,-118.5796806,4895,1967,194,2023,525,40.18,3.96,41.33,10.73,1826,1246,580,68.24,31.76
6037109100,Census Tract 1091,"Census Tract 1091, Los Angeles County, California",6,37,109100,34.2771693,-118.4631511,2492,728,67,231,1430,29.21,2.69,9.27,57.38,731,574,157,78.52,21.48
6037109200,Census Tract 1092,"Census Tract 1092, Los Angeles County, California",6,37,109200,34.277998,-118.4746272,2669,1006,94,486,1005,37.69,3.52,18.21,37.65,873,668,205,76.52,23.48
6037109300,Census Tract 1093,"Census Tract 1093, Los Angeles County, California",6,37,109300,34.2711982,-118.4804333,3085,1010,125,511,1352,32.74,4.05,16.56,43.82,877,733,144,83.58,16.42
6037109400,Census Tract 1094,"Census Tract 1094, Los Angeles County, California",6,37,109400,34.2687178,-118.4556969,3720,519,89,231,2790,13.95,2.39,6.21,75,1021,776,245,76,24
6037109500,Census Tract 1095,"Census Tract 1095, Los Angeles County, California",6,37,109500,34.2703268,-118.4389293,4303,134,40,105,3983,3.11,0.93,2.44,92.56,1005,612,393,60.9,39.1
6037109601,Census Tract 1096.01,"Census Tract 1096.01, Los Angeles County, California",6,37,109601,34.2593157,-118.4495333,5020,753,148,508,3516,15,2.95,10.12,70.04,1276,977,299,76.57,23.43
6037109603,Census Tract 1096.03,"Census Tract 1096.03, Los Angeles County, California",6,37,109603,34.2536518,-118.4654157,4252,761,191,459,2761,17.9,4.49,10.79,64.93,1265,756,509,59.76,40.24
6037109604,Census Tract 1096.04,"Census Tract 1096.04, Los Angeles County, California",6,37,109604,34.2615445,-118.4653518,2975,708,116,286,1800,23.8,3.9,9.61,60.5,889,649,240,73,27
6037109700,Census Tract 1097,"Census Tract 1097, Los Angeles County, California",6,37,109700,34.2619343,-118.4808881,4493,1585,122,752,1890,35.28,2.72,16.74,42.07,1348,1107,241,82.12,17.88
6037109800,Census Tract 1098,"Census Tract 1098, Los Angeles County, California",6,37,109800,34.2537115,-118.4815974,4565,1518,135,671,2110,33.25,2.96,14.7,46.22,1402,1070,332,76.32,23.68
6037111100,Census Tract 1111,"Census Tract 1111, Los Angeles County, California",6,37,111100,34.2683099,-118.4950694,2982,1171,103,456,1170,39.27,3.45,15.29,39.24,913,725,188,79.41,20.59
6037111201,Census Tract 1112.01,"Census Tract 1112.01, Los Angeles County, California",6,37,111201,34.2748338,-118.5101489,3410,1703,92,498,995,49.94,2.7,14.6,29.18,1093,957,136,87.56,12.44
6037111202,Census Tract 1112.02,"Census Tract 1112.02, Los Angeles County, California",6,37,111202,34.2684432,-118.5148271,5213,2617,147,843,1421,50.2,2.82,16.17,27.26,1836,1143,693,62.25,37.75
6037111204,Census Tract 1112.04,"Census Tract 1112.04, Los Angeles County, California",6,37,111204,34.2619679,-118.5474393,5859,3443,224,1154,871,58.76,3.82,19.7,14.87,1917,1808,109,94.31,5.69
6037111205,Census Tract 1112.05,"Census Tract 1112.05, Los Angeles County, California",6,37,111205,34.2540547,-118.5352005,3375,1397,154,1096,610,41.39,4.56,32.47,18.07,1246,861,385,69.1,30.9
6037111206,Census Tract 1112.06,"Census Tract 1112.06, Los Angeles County, California",6,37,111206,34.2690645,-118.5343557,4490,2556,133,730,931,56.93,2.96,16.26,20.73,1497,1370,127,91.52,8.48
6037111301,Census Tract 1113.01,"Census Tract 1113.01, Los Angeles County, California",6,37,111301,34.261129,-118.5157706,7087,2663,389,1627,2080,37.58,5.49,22.96,29.35,2635,937,1698,35.56,64.44
6037111302,Census Tract 1113.02,"Census Tract 1113.02, Los Angeles County, California",6,37,111302,34.2539511,-118.5128425,4786,2402,278,905,1023,50.19,5.81,18.91,21.37,1810,909,901,50.22,49.78
6037111400,Census Tract 1114,"Census Tract 1114, Los Angeles County, California",6,37,111400,34.2578116,-118.496182,7560,3122,252,1533,2427,41.3,3.33,20.28,32.1,2752,1109,1643,40.3,59.7
6037113101,Census Tract 1131.01,"Census Tract 1131.01, Los Angeles County, California",6,37,113101,34.2654115,-118.5852975,3558,2150,110,437,731,60.43,3.09,12.28,20.55,1118,978,140,87.48,12.52
6037113102,Census Tract 1131.02,"Census Tract 1131.02, Los Angeles County, California",6,37,113102,34.2660306,-118.5686167,2828,1888,93,388,369,66.76,3.29,13.72,13.05,943,901,42,95.55,4.45
6037113211,Census Tract 1132.11,"Census Tract 1132.11, Los Angeles County, California",6,37,113211,34.2674995,-118.6227865,3787,2628,103,458,466,69.4,2.72,12.09,12.31,1548,1348,200,87.08,12.92
6037113212,Census Tract 1132.12,"Census Tract 1132.12, Los Angeles County, California",6,37,113212,34.2606869,-118.6024313,3069,1569,151,528,712,51.12,4.92,17.2,23.2,1045,688,357,65.84,34.16
6037113213,Census Tract 1132.13,"Census Tract 1132.13, Los Angeles County, California",6,37,113213,34.2519958,-118.6071365,4316,2040,187,881,1035,47.27,4.33,20.41,23.98,1594,1080,514,67.75,32.25
6037113231,Census Tract 1132.31,"Census Tract 1132.31, Los Angeles County, California",6,37,113231,34.2266028,-118.6502378,2125,1496,79,223,239,70.4,3.72,10.49,11.25,789,647,142,82,18
6037113232,Census Tract 1132.32,"Census Tract 1132.32, Los Angeles County, California",6,37,113232,34.225826,-118.6125452,3894,2380,155,522,692,61.12,3.98,13.41,17.77,1342,1171,171,87.26,12.74
6037113233,Census Tract 1132.33,"Census Tract 1132.33, Los Angeles County, California",6,37,113233,34.2269621,-118.6012203,6655,1608,459,791,3622,24.16,6.9,11.89,54.43,2283,658,1625,28.82,71.18
6037113234,Census Tract 1132.34,"Census Tract 1132.34, Los Angeles County, California",6,37,113234,34.2257746,-118.5939793,4667,1113,160,724,2565,23.85,3.43,15.51,54.96,1494,711,783,47.59,52.41
6037113235,Census Tract 1132.35,"Census Tract 1132.35, Los Angeles County, California",6,37,113235,34.2382513,-118.651677,1602,1199,48,60,213,74.84,3,3.75,13.3,663,527,136,79.49,20.51
6037113237,Census Tract 1132.37,"Census Tract 1132.37, Los Angeles County, California",6,37,113237,34.244544,-118.6117577,3661,2081,191,653,588,56.84,5.22,17.84,16.06,1432,922,510,64.39,35.61
6037113301,Census Tract 1133.01,"Census Tract 1133.01, Los Angeles County, California",6,37,113301,34.2440427,-118.5583429,2201,1263,88,346,431,57.38,4,15.72,19.58,717,596,121,83.12,16.88
6037113303,Census Tract 1133.03,"Census Tract 1133.03, Los Angeles County, California",6,37,113303,34.2440789,-118.5790731,4006,2019,132,574,1167,50.4,3.3,14.33,29.13,1362,1202,160,88.25,11.75
6037113321,Census Tract 1133.21,"Census Tract 1133.21, Los Angeles County, California",6,37,113321,34.2533539,-118.5918392,5473,2091,299,1092,1804,38.21,5.46,19.95,32.96,2252,676,1576,30.02,69.98
6037113322,Census Tract 1133.22,"Census Tract 1133.22, Los Angeles County, California",6,37,113322,34.2536788,-118.5721382,3947,2164,146,741,760,54.83,3.7,18.77,19.26,1323,1154,169,87.23,12.77
6037113401,Census Tract 1134.01,"Census Tract 1134.01, Los Angeles County, California",6,37,113401,34.2272273,-118.5626938,5543,2002,200,949,2232,36.12,3.61,17.12,40.27,1716,1228,488,71.56,28.44
6037113421,Census Tract 1134.21,"Census Tract 1134.21, Los Angeles County, California",6,37,113421,34.2335792,-118.5830621,6109,1414,533,796,3176,23.15,8.72,13.03,51.99,1952,450,1502,23.05,76.95
6037113422,Census Tract 1134.22,"Census Tract 1134.22, Los Angeles County, California",6,37,113422,34.2242131,-118.5809624,6057,1912,339,1061,2556,31.57,5.6,17.52,42.2,2043,1120,923,54.82,45.18
